instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,y_actual
75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48
91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6
94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2
96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57
103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19
116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11
117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4
118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2
119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95
123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219
124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122
125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45
126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84
128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62
131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23
139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17
140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5
144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34
145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187
156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15
162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25
163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16
165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7
166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
173,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
176,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
177,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
178,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
179,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
184,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
185,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
186,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
187,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
188,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
189,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
195,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
196,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
197,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
198,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
199,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
202,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
203,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
207,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
208,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
209,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
210,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
211,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
212,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
213,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
214,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
216,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
217,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
218,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
219,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
220,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99
240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
249,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
250,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
251,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51
252,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32
253,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
254,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
255,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19
256,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7
257,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6
258,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
259,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
260,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
261,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
262,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
263,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
264,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
265,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35
266,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
267,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49
268,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44
269,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
270,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68
271,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139
272,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137
273,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83
274,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56
275,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57
276,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33
277,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20
278,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7
279,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2
280,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2
281,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3
282,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4
283,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3
284,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28
285,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72
286,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202
287,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139
288,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38
289,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37
290,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52
291,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83
292,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42
293,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60
294,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78
295,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162
296,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144
297,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99
298,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64
299,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40
300,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30
301,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15
302,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14
303,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5
304,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1,1
305,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,1
306,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8,8
307,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0,0,17,17
308,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70,70
309,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0,2,156,158
310,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117,117
311,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,4,40,44
312,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,6,47,53
313,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,2,59,61
314,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,4,73,77
315,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,5,59,64
316,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,9,59,68
317,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,3,87,90
318,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,4,155,159
319,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0,5,134,139
320,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,3,89,92
321,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0,0,68,68
322,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0,4,48,52
323,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0,2,34,36
324,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0,1,26,27
325,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0,3,25,28
326,1,0,1,1,0,6,0,2,0.16,0.197,0.59,0.0896,2,18,20
327,1,0,1,2,0,6,0,2,0.16,0.197,0.59,0.0896,0,12,12
328,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0,1,7,8
329,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0,0,5,5
330,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0,0,1,1
331,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,1,2,3
332,1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0,1,9,10
333,1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,1,22,23
334,1,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343,2,31,33
335,1,0,1,10,0,6,0,1,0.18,0.197,0.59,0.1642,2,57,59
336,1,0,1,11,0,6,0,1,0.2,0.197,0.55,0.2239,18,54,72
337,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,15,74,89
